phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,air,R-d3-12-008: Launch attack helicopters to provide close air support for the landing of 1-AD.,"Support ground maneuver by disrupting Blue's defensive positions and enabling the armored division's advance. [refs: AJP-3.3 air ops, ATP 3-04 aviation]",B-d2-3-048: Launch air defense sorties to counter Red's attack helicopters providing close air support.,"Utilize air superiority to neutralize Red's air support, maintaining control of the airspace over the battlefield. [refs: Doctrines.md - Tenet: Defending division shapes the close, deep, support area.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,usv_uav,R-d3-16-056: Deploy kamikaze UAVs to target Blue's coastal radar installations.,Neutralize Blue's ISR capabilities to protect Red's landing operations. [refs: ATP 3-01.81 C-UAS],B-d1-501-014: Deploy ISR UAVs to locate and track Red's kamikaze UAVs targeting coastal radar installations.,"Enhance situational awareness and provide targeting data for air defense units to intercept incoming threats. [refs: Doctrines.md - Tenet: Division as primary tactical HQ; multi-functional brigades support BCTs with attack/recon aviation, fires, logistics.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,sof,R-d1-21-073: Conduct raids on Blue's rear-area C2 nodes to disrupt command and control.,"Vertical envelopment to create chaos in Blue's rear areas, hindering their response to the landing. [refs: JP 3-05 SOF]",,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,land,R-d3-41-005: Land and advance 1-AD towards Objective X to exploit gaps in Blue's defense.,"Exploit operational tempo and mass at the decisive point to achieve a breakthrough. [refs: FM 3-90 attacker 3:1, JP 3-02 amphibious phases]",B-d1-54-009: Hold position — preserving reserve combat power for Red culmination per ADP 3-0.,"Maintain defensive positions to exploit Red's culmination and prepare for a decisive counterattack. [refs: Doctrines.md - Defense types: area defense, mobile defense, retrograde.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,ew,R-d3-405-014: Continue electronic jamming to disrupt Blue's C2 throughout the operation.,"Persistent EW to degrade Blue's communication and coordination capabilities. [refs: JP 3-02 amphibious phases, ATP 3-01.8 C-AD]",B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming efforts.,"Counteract Red's electronic warfare to maintain effective command and control. [refs: Doctrines.md - Tenet: Division as primary tactical HQ; multi-functional brigades support BCTs with attack/recon aviation, fires, logistics.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,Preserve strategic strike capability for decisive engagement at culmination. [refs: JP 3-02 amphibious phases],,,"Red's attempt to engage Blue's operational reserves was met with effective Blue countermeasures. Blue's F-16s intercepted Red ISR UAVs, reducing their effectiveness. Red's kamikaze UAVs faced strong Blue UAV defenses, resulting in limited impact on Blue's radar installations. Red's SOF raid was partially successful, but Blue maintained C2 integrity. Red's naval gunfire support was countered by Blue's corvettes, maintaining Blue's maritime defense. Red's inland advance was halted by Blue's mobile defense, exploiting Red's culmination.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),maritime,R-d3-10-030: Deploy 4 destroyers to provide naval gunfire support and counter Blue's corvette threat.,Utilize available naval assets to support ground operations and counter Blue's maritime threats. [refs: AJP-3.1 maritime ops],B-d1-8-031: Held position — preserving corvette combat power to counter Red destroyers' naval gunfire support.,Preserving naval assets for critical engagements per FM 3-90's economy of force. [refs: FM 3-90's economy of force],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),air,R-d3-12-055: Deploy ISR UAVs to locate and identify Blue's reserve positions and air defenses.,Enhance situational awareness and target acquisition for subsequent strikes. [refs: AJP-3.3 air ops],B-d2-3-048: Deploy F-16 squadron to intercept Red ISR UAVs.,Prevent Red from locating and identifying Blue's reserve positions and air defenses. [refs: ADP 3-0's unified land operations],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),usv_uav,R-d3-16-056: Launch kamikaze UAVs to target Blue's coastal radar installations.,Disrupt Blue's coastal surveillance and targeting capabilities. [refs: ATP 3-01.81 C-UAS],B-d2-12-059: Deploy UAVs to intercept and neutralize Red's kamikaze UAVs targeting coastal radar installations.,Protect critical radar installations to maintain situational awareness. [refs: FM 3-90's defense of key assets],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),sof,R-d2-211-074: Conduct SOF raid to disrupt Blue's rear-area C2 nodes.,Implement vertical envelopment to degrade Blue's command and control. [refs: JP 3-05 SOF],B-d1-504-021: Held position — absorbing SOF raid impact while maintaining C2 integrity.,Preserving C2 nodes per ATP 3-01.8 economy of force. [refs: ATP 3-01.8 economy of force],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),land,R-d3-41-005: Advance inland to engage Blue's reserve forces at the phase line.,Maintain operational tempo and engage Blue's reserves before they can consolidate. [refs: FM 3-90 attacker 3:1],B-d1-54-009: Engage Red forces advancing inland at the phase line.,Counter Red's advance and exploit their culmination per ADP 3-0. [refs: ADP 3-0's mobile defense],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
13,D+96h,الاحتياطي الأزرق العملياتي (لواء 73),ew,R-d3-405-014: Continue jamming operations to disrupt Blue's electronic countermeasures.,Ensure persistent EW to degrade Blue's communication and coordination. [refs: ATP 3-01.8 C-AD],B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming operations.,Maintain Blue's electronic capabilities and counter Red's EW efforts. [refs: FM 3-90's electronic warfare],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",58,"naval 6/6, air 19/19, ground 64/64",53,"magazines=384, airframes=180, hulls=363","magazines=240, airframes=146, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"Preserving strategic missile capability for a decisive saturation strike when Blue's defenses are more depleted. [refs: Doctrines.md, Houthi 2024 model]",B-d2-555-019: Held position — preserving artillery for decisive counterattack once Red culminates per ADP 3-0.,"Red's SSMs are held in reserve, indicating no immediate strategic threat. Artillery will be crucial for counterattack. [refs: Doctrines.md — Tenet: Defense types: area defense, mobile defense, retrograde. Defender intent: shape the battle, allow attacker to culminate, then counterattack.]","Red's multi-domain operations faced significant Blue resistance. Red's destroyers engaged Blue corvettes, but Blue's naval forces managed to disrupt Red's gunfire support. Red's Mirage strike was intercepted by Blue's F-16s, resulting in airframe losses. Red's kamikaze UAVs partially degraded Blue's coastal radar, but Blue's UAVs intercepted a significant portion. Red's mechanized infantry advance was halted by Blue's armored brigade, maintaining Blue's defensive line. Force ratio 0.97:1 indicates Red's culmination per ADP 3-0.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support and counter Blue's corvette threat.,"To support the amphibious landing and protect against Blue's naval assets, ensuring sea control. [refs: AJP-3.1 maritime ops, NTRP 3-22 surface warfare]",B-d1-8-031: Deploy corvettes to counter Red destroyers and protect coastal installations.,"Red destroyers are providing naval gunfire support. Corvettes will engage to disrupt their operations. [refs: Doctrines.md — Tenet: Obstacle types: existing, reinforcing (mines, wire, antitank ditch). Obstacle effects: disrupt, fix, turn, block.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,air,R-d3-14-051: Launch Mirage strike squadron to target Blue's rear echelons and disrupt logistics.,"To exploit operational tempo and disrupt Blue's supply lines, reducing their combat effectiveness. [refs: AJP-3.3 air ops, Operational tempo over methodical advance]",B-d2-3-048: Launch F-16 squadron to intercept Red Mirage strike targeting rear echelons.,"Red aims to disrupt logistics. Intercepting the strike will preserve rear area integrity. [refs: Doctrines.md — Tenet: Unified land operations achieved through decisive action — offense, defense, stability, and DSCA.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,usv_uav,R-d3-16-056: Deploy kamikaze UAVs in a saturation strike on Blue's coastal radar installations.,"To overwhelm Blue's air defenses and degrade their situational awareness. [refs: Houthi 2024 model, Multi-domain saturation]",B-d1-501-014: Deploy UAVs to intercept and neutralize Red's kamikaze UAVs targeting coastal radars.,"Protecting radar installations is critical for maintaining situational awareness. [refs: Doctrines.md — Tenet: Countermobility = terrain reinforcement + obstacle employment to disrupt, fix, turn, or block enemy movement.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,sof,R-d1-21-073: Conduct SOF raids on Blue's rear C2 nodes to disrupt command and control.,"To achieve vertical envelopment and disrupt Blue's operational coordination. [refs: JP 3-05 SOF, Vertical envelopment]",B-d1-504-021: Held position — absorbing SOF raids with hardened C2 nodes per ATP 3-01.8 economy of force.,"Red SOF raids aim to disrupt C2. Our nodes are hardened, minimizing impact. [refs: Doctrines.md — Tenet: Defense types: area defense, mobile defense, retrograde.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,land,R-d2-4-004: Advance mechanized infantry to exploit gaps in Blue's defensive line.,"To maintain operational tempo and pressure Blue forces beyond their culmination point. [refs: FM 3-90 attacker 3:1, Operational tempo over methodical advance]",B-d1-54-009: Commit armored brigade to counter Red mechanized infantry exploiting gaps.,"Red is advancing to exploit gaps. Armored brigade will counter and halt their progress. [refs: Doctrines.md — Tenet: Defense types: area defense, mobile defense, retrograde. Defender intent: shape the battle, allow attacker to culminate, then counterattack.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
14,D+120h,اقتراب من نقطة الانهيار,ew,R-d3-405-014: Continue electronic warfare operations to jam Blue's communications.,"To maintain persistent EW pressure and degrade Blue's C2 capabilities. [refs: EW persistent throughout, ADP 3-0 culmination]",B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming operations.,"Maintaining communications is crucial for coordination and defense. [refs: Doctrines.md — Tenet: Unified land operations achieved through decisive action — offense, defense, stability, and DSCA.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",64,"naval 6/6, air 19/19, ground 64/64",58,"magazines=384, airframes=177, hulls=362","magazines=240, airframes=143, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,strategic,R-d0-500-077: Launch a coordinated SSM strike targeting Blue's 9th AD Bde batteries to degrade their artillery capabilities.,"Targeting Blue's artillery will reduce their ability to counter our ground forces, aligning with the joint targeting doctrine. [refs: Doctrines.md §1]",B-d2-555-019: Held position — preserving artillery combat power for Red culmination per ADP 3-0.,"Preserving artillery assets is crucial for countering Red's mechanized push and maintaining defensive firepower. [refs: ADP 3-0 culmination, FM 3-90 mobile defense]","Red's final push involved a coordinated SSM strike, naval gunfire, and air assaults. Blue's defenses held firm, intercepting a significant portion of Red's air and missile threats. Red's mechanized forces faced strong resistance from Blue's armored brigade, preventing a breakthrough. EW operations were evenly matched, maintaining a stalemate in communications disruption.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support for the advancing ground units.,"Enhance ground force effectiveness by providing direct fire support, exploiting gaps in Blue's coastal defenses. [refs: Doctrines.md §5]",B-d1-8-031: Deploy corvettes to engage Red destroyers providing naval gunfire support.,"Countering Red's naval gunfire support is essential to protect ground forces and maintain sea denial. [refs: NTRP 3-22 surface warfare, Doctrines.md sea denial]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,air,R-d3-14-051: Conduct air strikes using Mirage squadron to target Blue's rear echelons and disrupt their C2.,"Disrupting Blue's command and control will reduce their operational coherence, aligning with vertical envelopment doctrine. [refs: Doctrines.md §1]",B-d2-1-052: Deploy Rafale squadron to intercept Red Mirage squadron targeting rear echelons.,"Protecting C2 and logistics is critical to maintaining operational integrity and preventing disruption. [refs: ATP 3-01.4 J-SEAD, AJP-3.3 air ops]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,usv_uav,R-d3-16-056: Deploy kamikaze UAVs in a mass strike against Blue's coastal radar installations.,"Overwhelm Blue's air defense systems through saturation, reducing their ISR capabilities. [refs: WarReferences.md §6]",B-d1-2-013: Deploy strike aircraft to intercept and neutralize Red kamikaze UAVs targeting coastal radars.,"Preserving radar capabilities is vital for maintaining situational awareness and air defense. [refs: ATP 3-01.81 C-UAS, Doctrines.md layered AD]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,sof,R-d1-21-073: Conduct SOF raids to disrupt Blue's rear-area logistics and supply lines.,"Targeting logistics will hinder Blue's ability to sustain operations, aligning with operational tempo doctrine. [refs: Doctrines.md §1]",B-d1-506-025: Deploy chemical defense battalion to secure and protect logistics nodes from SOF raids.,"Ensuring the security of logistics and supply lines is crucial to sustaining operations. [refs: JP 3-05 SOF, Doctrines.md area defense]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,land,"R-d2-9-017: Execute a mechanized push towards Objective X, focusing on exploiting identified gaps.","Mass at the decisive point to achieve breakthrough, consistent with operational tempo and mass doctrine. [refs: Doctrines.md §5]",B-d1-54-009: Commit armored brigade to counter Red's mechanized push towards Objective X.,"Engaging Red's mechanized forces at culmination is key to halting their advance and regaining initiative. [refs: FM 3-90 mobile defense, ADP 3-0 culmination]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
15,D+132h,ضربة صواريخ أحمر نهائية + دفع أخير,ew,R-d3-405-014: Continue persistent jamming operations to disrupt Blue's communications.,Maintaining EW pressure aligns with the doctrine of continuous disruption of enemy C2. [refs: Doctrines.md §5],B-d1-505-022: Conduct counter-jamming operations to restore Blue communications.,"Maintaining effective communication is essential for command and control and operational coordination. [refs: ATP 3-01.8 C-AD, Doctrines.md EW operations]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",71,"naval 6/6, air 19/19, ground 64/64",65,"magazines=372, airframes=175, hulls=361","magazines=240, airframes=138, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for potential future saturation salvo per opening-day concentration doctrine,"Strategic missiles are held to ensure availability for critical future operations, aligning with the doctrine of preserving resources for decisive moments. [refs: Doctrines.md, WarReferences.md]",B-d1-4-035: Held position — preserving radar capabilities for ongoing sea denial and air defense.,"Maintaining radar capabilities is crucial for sea denial and air defense, ensuring Red's movements are tracked and countered effectively. [refs: Doctrines.md — Sea control, sea denial, power projection, and maritime support.]","Red's final push towards Objective X was met with strong Blue resistance. Red's air strike on Blue's logistics was partially intercepted by Blue air patrols, resulting in moderate disruption. Red's kamikaze UAVs achieved limited success against Blue's forward defenses, with significant losses to Blue's counter-UAV operations. Red's SOF raids caused temporary disruption to Blue's C2, but Blue's mobile defense effectively countered Red's ground advance, forcing Red to culminate. EW operations were evenly matched, maintaining a degraded communication environment for both sides.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,air,R-d3-14-051: Conduct a strike mission targeting Blue's rear logistics and C2 nodes to disrupt their operational capabilities.,"Targeting logistics and C2 nodes aligns with the principle of disrupting Blue's ability to sustain operations, leveraging air power for operational maneuver. [refs: Doctrines.md, WarReferences.md]",B-d2-3-048: Conduct air patrols to intercept Red's strike mission targeting logistics and C2 nodes.,"Intercepting Red's air strike is crucial to protect logistics and C2 nodes, maintaining operational capabilities. [refs: Doctrines.md — Protection through hardening, dispersal, concealment, deception.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,usv_uav,R-d3-16-067: Deploy kamikaze UAVs in a saturation strike against Blue's forward defensive positions.,"Saturation strikes aim to overwhelm Blue's defenses, reducing their ability to intercept and respond effectively. [refs: Doctrines.md, WarReferences.md]",B-d2-12-059: Deploy UAVs to intercept and neutralize Red's kamikaze UAVs targeting forward positions.,"Countering Red's UAV saturation strike is essential to protect forward defensive positions and maintain combat effectiveness. [refs: Doctrines.md — Large-scale combat operations (LSCO) doctrine — multi-domain, peer-or-near-peer.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,sof,R-d1-21-073: Conduct raids on Blue's rear-area C2 installations to disrupt command and control.,"Vertical envelopment through SOF operations aims to create chaos and disrupt Blue's coordination, exploiting gaps in their defenses. [refs: Doctrines.md, WarReferences.md]",B-d1-504-021: Held position — preserving signal capabilities for ongoing command and control.,"Maintaining signal capabilities is crucial for effective command and control, ensuring communication remains intact despite Red's SOF raids. [refs: Doctrines.md — Protection through hardening, dispersal, concealment, deception.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,land,"R-d2-9-017: Advance towards Objective X, focusing on exploiting gaps in Blue's defenses rather than reducing strongpoints.","Maintaining operational tempo and exploiting gaps aligns with the doctrine of prioritizing speed and maneuver over methodical advance. [refs: Doctrines.md, WarReferences.md]",B-d1-54-009: Conduct mobile defense to counter Red's advance towards Objective X.,"Engaging in mobile defense allows for shaping the battle and exploiting Red's culmination point. [refs: Doctrines.md — Defense types: area defense, mobile defense, retrograde.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
16,D+144h,الحسم النهائي عند الهدف X,ew,R-d3-405-014: Continue persistent jamming of Blue's communications to degrade their situational awareness.,"Continuous EW operations aim to maintain pressure on Blue's C2 capabilities, reducing their ability to coordinate effectively. [refs: Doctrines.md, WarReferences.md]",B-d1-505-022: Conduct counter-jamming operations to restore communications.,"Restoring communications is essential for maintaining situational awareness and operational effectiveness. [refs: Doctrines.md — Large-scale combat operations (LSCO) doctrine — multi-domain, peer-or-near-peer.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",76,"naval 6/6, air 19/19, ground 64/64",70,"magazines=372, airframes=172, hulls=361","magazines=240, airframes=135, hulls=8"
